epoch,train_loss,val_acc_all,val_acc_stop,val_acc_nonstop
1,2.7771824637612146,0.2585669781931464,0.9795918367346939,0.12867647058823528
2,1.722342332640847,0.6884735202492211,0.8775510204081632,0.6544117647058824
3,0.9833111546851776,0.6697819314641744,0.9795918367346939,0.6139705882352942
4,0.8325854212373167,0.7071651090342679,0.9183673469387755,0.6691176470588235
5,0.7999746946843116,0.7071651090342679,0.7959183673469388,0.6911764705882353
6,0.7751561923996433,0.7165109034267912,0.9183673469387755,0.6801470588235294
7,0.758013224863744,0.7165109034267912,0.8163265306122449,0.6985294117647058
8,0.7498667642965422,0.7383177570093458,0.8775510204081632,0.7132352941176471
9,0.7106007088671674,0.7258566978193146,0.9387755102040817,0.6875
10,0.6963036558130286,0.7320872274143302,0.8979591836734694,0.7022058823529411
11,0.6742231649356883,0.7133956386292835,0.8979591836734694,0.6801470588235294
12,0.6491765795828222,0.7383177570093458,0.9387755102040817,0.7022058823529411
13,0.6408450113875526,0.7476635514018691,0.8571428571428571,0.7279411764705882
14,0.6151105453679849,0.719626168224299,0.8571428571428571,0.6948529411764706
15,0.6015858938405801,0.7320872274143302,0.9591836734693877,0.6911764705882353
